,filename,filepath,label
0,cloudy1,F:\PycharmProjects\Pyotrch-ImageClassification-master\data\Multi-class_Weather_Dataset_for_Image_Classification/JPEGImage/cloudy1.jpg,2
1,cloudy10,F:\PycharmProjects\Pyotrch-ImageClassification-master\data\Multi-class_Weather_Dataset_for_Image_Classification/JPEGImage/cloudy10.jpg,2
2,cloudy100,F:\PycharmProjects\Pyotrch-ImageClassification-master\data\Multi-class_Weather_Dataset_for_Image_Classification/JPEGImage/cloudy100.jpg,2
3,cloudy101,F:\PycharmProjects\Pyotrch-ImageClassification-master\data\Multi-class_Weather_Dataset_for_Image_Classification/JPEGImage/cloudy101.jpg,2
4,cloudy102,F:\PycharmProjects\Pyotrch-ImageClassification-master\data\Multi-class_Weather_Dataset_for_Image_Classification/JPEGImage/cloudy102.jpg,2
5,cloudy103,F:\PycharmProjects\Pyotrch-ImageClassification-master\data\Multi-class_Weather_Dataset_for_Image_Classification/JPEGImage/cloudy103.jpg,2
6,cloudy104,F:\PycharmProjects\Pyotrch-ImageClassification-master\data\Multi-class_Weather_Dataset_for_Image_Classification/JPEGImage/cloudy104.jpg,2
7,cloudy105,F:\PycharmProjects\Pyotrch-ImageClassification-master\data\Multi-class_Weather_Dataset_for_Image_Classification/JPEGImage/cloudy105.jpg,2
8,cloudy106,F:\PycharmProjects\Pyotrch-ImageClassification-master\data\Multi-class_Weather_Dataset_for_Image_Classification/JPEGImage/cloudy106.jpg,2
9,cloudy107,F:\PycharmProjects\Pyotrch-ImageClassification-master\data\Multi-class_Weather_Dataset_for_Image_Classification/JPEGImage/cloudy107.jpg,2
10,cloudy108,F:\PycharmProjects\Pyotrch-ImageClassification-master\data\Multi-class_Weather_Dataset_for_Image_Classification/JPEGImage/cloudy108.jpg,2
11,cloudy109,F:\PycharmProjects\Pyotrch-ImageClassification-master\data\Multi-class_Weather_Dataset_for_Image_Classification/JPEGImage/cloudy109.jpg,2
12,cloudy11,F:\PycharmProjects\Pyotrch-ImageClassification-master\data\Multi-class_Weather_Dataset_for_Image_Classification/JPEGImage/cloudy11.jpg,2
13,cloudy110,F:\PycharmProjects\Pyotrch-ImageClassification-master\data\Multi-class_Weather_Dataset_for_Image_Classification/JPEGImage/cloudy110.jpg,2
14,cloudy111,F:\PycharmProjects\Pyotrch-ImageClassification-master\data\Multi-class_Weather_Dataset_for_Image_Classification/JPEGImage/cloudy111.jpg,2
15,cloudy112,F:\PycharmProjects\Pyotrch-ImageClassification-master\data\Multi-class_Weather_Dataset_for_Image_Classification/JPEGImage/cloudy112.jpg,2
16,cloudy113,F:\PycharmProjects\Pyotrch-ImageClassification-master\data\Multi-class_Weather_Dataset_for_Image_Classification/JPEGImage/cloudy113.jpg,2
17,cloudy114,F:\PycharmProjects\Pyotrch-ImageClassification-master\data\Multi-class_Weather_Dataset_for_Image_Classification/JPEGImage/cloudy114.jpg,2
18,cloudy115,F:\PycharmProjects\Pyotrch-ImageClassification-master\data\Multi-class_Weather_Dataset_for_Image_Classification/JPEGImage/cloudy115.jpg,2
19,cloudy116,F:\PycharmProjects\Pyotrch-ImageClassification-master\data\Multi-class_Weather_Dataset_for_Image_Classification/JPEGImage/cloudy116.jpg,2
20,cloudy117,F:\PycharmProjects\Pyotrch-ImageClassification-master\data\Multi-class_Weather_Dataset_for_Image_Classification/JPEGImage/cloudy117.jpg,2
21,cloudy118,F:\PycharmProjects\Pyotrch-ImageClassification-master\data\Multi-class_Weather_Dataset_for_Image_Classification/JPEGImage/cloudy118.jpg,2
22,cloudy119,F:\PycharmProjects\Pyotrch-ImageClassification-master\data\Multi-class_Weather_Dataset_for_Image_Classification/JPEGImage/cloudy119.jpg,2
