,Epoch,Loss,Accuracy,Precision,Recall,F1
0,1,0.7970818970352411,0.6339285714285714,0.6219449975111997,0.6339285714285714,0.5981796191297917
1,2,0.3980133580043912,0.7232142857142857,0.6962425595238094,0.7232142857142857,0.6787876662692568
2,3,0.33398327324539423,0.75,0.8340773809523808,0.75,0.7323718753572903
3,4,0.30979057401418686,0.8571428571428571,0.8841071428571429,0.8571428571428571,0.8497266038465198
4,5,0.30902050621807575,0.7410714285714286,0.8407738095238094,0.7410714285714286,0.7250159261028826
5,6,0.29384053964167833,0.8392857142857143,0.8633585164835164,0.8392857142857143,0.8301752156664152
6,7,0.28728339076042175,0.7321428571428571,0.70375,0.7321428571428571,0.6854052888761137
7,8,0.2464457913301885,0.5446428571428571,0.5816197691197692,0.5446428571428571,0.5133516291634485
8,9,0.2725143092684448,0.7589285714285714,0.8516865079365079,0.7589285714285714,0.7124716875386518
9,10,0.22272194270044565,0.8392857142857143,0.9002114359257217,0.8392857142857143,0.8247711750753071
